date,r1,r3,r6,r12,haa_13612u,regime,slope_haa,accel_haa
2024-09-13,0.016661389595227005,0.040573905083095996,0.05904578921441539,,,Risk-On,,
2024-09-20,0.013291284532235714,0.03898320776056674,0.05425418529636161,,,Risk-On,,
2024-09-27,0.010976277750383456,0.04141840595140511,0.04993860292234342,,,Risk-On,,
2024-10-04,0.0008310839501319833,0.025580435288989456,0.047139190430216305,,,Risk-On,,
2024-10-11,-0.004260274308715006,0.022029500347753528,0.053037400093980835,,,Risk-On,,
2024-10-18,-0.011012489185612262,0.023385556672103736,0.055263886034965015,,,Risk-On,,
2024-10-25,-0.017051874816638057,0.010075691034682865,0.044745980608682734,,,Risk-On,,
2024-11-01,-0.020804306214289414,-0.009014400573102654,0.03238185675999494,,,Weak Risk-On,,
2024-11-08,-0.007405688498175911,0.0029440736506582965,0.0389652829235414,,,Risk-On,,
2024-11-15,-0.015036295776027053,-0.0071279473861441955,0.02313379547979144,,,Weak Risk-On,,
2024-11-22,-0.006460624106787494,-0.012546847898830538,0.027530436353080834,,,Weak Risk-On,,
2024-11-29,0.003868164636757987,0.0011924798724238794,0.034443164298179285,,,Risk-On,,
2024-12-06,0.010665342660618693,-0.004640588868122131,0.036167567534736156,,,Risk-On,,
2024-12-13,0.004919998831748984,-0.02385080912930526,0.018010907541134324,,,Risk-On,,
2024-12-20,-0.008760355419830113,-0.03137167551883269,0.005915705704397478,,,Weak Risk-On,,
2024-12-27,-0.01290510524957289,-0.032742270209352276,0.007320003102751382,,,Weak Risk-On,,
2025-01-03,-0.017606947973821674,-0.02920751991327064,0.0020771896906837117,0.015761284408943865,-0.07704944788715784,Risk-Off,,
2025-01-10,-0.02072922524344678,-0.023780538329626788,-0.0034433870755683493,0.019444204955692657,-0.08282885635882814,Risk-Off,-0.0057794084716703,
2025-01-17,-0.0029758872832079675,-0.017296288445337926,0.003413317373682112,0.028080519668724824,-0.017497161690939567,Risk-Off,0.06533169466788857,0.07111110313955887
2025-01-24,0.008353641715149962,-0.007846851209699968,0.013004980353880313,0.0323132390645442,0.031794873878826124,Risk-On,0.04929203556976569,-0.016039659098122883
2025-01-31,0.01246736123035097,0.0021184315287228195,0.005482133707166437,0.03372149024868687,0.05069195463553067,Risk-On,0.018897080756704543,-0.030394954813061148
2025-02-07,0.019939798700175704,0.0069561701373201945,0.009363299011828419,0.041627987135777644,0.08186421252770593,Risk-On,0.03117225789217526,0.012275177135470716
2025-02-14,0.015046645402135406,0.012282508348091303,0.00499125315963056,0.05382290286928493,0.07337379685163403,Risk-On,-0.008490415676071894,-0.03966267356824715
2025-02-21,0.016613488421726608,0.014512068732730699,0.005730936022469546,0.0516564108548645,0.08013210472286142,Risk-On,0.006758307871227387,0.015248723547299281
2025-02-28,0.02337240423599396,0.021573714020434398,0.014278695311588097,0.06697482636798124,0.11557398097620564,Risk-On,0.03544187625334422,0.02868356838211683
2025-03-07,0.0049576531605697305,0.009791758170973441,0.0061880257186934795,0.04399360307172184,0.03875713127995983,Risk-On,-0.0768168496962458,-0.11225872594959002
2025-03-14,0.014933598152928829,0.009143808463558667,-0.0005774885246346839,0.04682513626961837,0.0653621427274324,Risk-On,0.02660501144747257,0.10342186114371837
2025-03-21,0.012879607639758373,0.02475811091298641,0.002717973776729554,0.06145106072641271,0.08011868590222948,Risk-On,0.014756543174797077,-0.011848468272675494
2025-03-28,0.009764364466716025,0.037602960413913866,0.00736183346812691,0.06007597946632859,0.08559596541470754,Risk-On,0.0054772795124780616,-0.009279263662319015
2025-04-04,0.015235531961359516,0.04311135199403915,0.010424893007072278,0.06935438075711642,0.11136898957093294,Risk-On,0.0257730241562254,0.020295744643747338
2025-04-11,-0.0092675426928166,0.023004377268343035,-0.0013232175366627574,0.05221082468198124,0.0075928465920571675,Risk-On,-0.10377614297887577,-0.12954916713510117
2025-04-17,-0.003629002207922838,0.024176867844566408,0.006270719353331122,0.06748276757069083,0.03329591279013616,Risk-On,0.025703066198078994,0.12947920917695477
2025-04-25,0.006056659954637222,0.028813048331466806,0.020740105418612043,0.06973435315014198,0.07478666919221999,Risk-On,0.04149075640208383,0.015787690204004834
2025-05-02,-0.006434652455113765,0.020962683080684386,0.023125522618171912,0.07094385975876616,0.030957451964120586,Risk-On,-0.043829217228099404,-0.08531997363018323
2025-05-09,0.003484301662091349,0.017287460771419516,0.024363885427107768,0.05998265500519717,0.05491797222254674,Risk-On,0.023960520258426155,0.06778973748652556
2025-05-16,0.005788102515520421,0.013832803447313191,0.02628521331922351,0.054754027187549736,0.058028224450373644,Risk-On,0.003110252227826904,-0.02085026803059925
2025-05-23,-0.006212400984315192,0.005759889277498376,0.020992648164501748,0.047220636595286525,0.009424169555625306,Risk-On,-0.04860405489474834,-0.05171430712257524
2025-05-30,-0.006319066029016329,0.001694884896591864,0.02330516387908288,0.06042186545946682,0.00949573511395102,Risk-On,7.156555832571465e-05,0.04867562045307405
2025-06-06,-0.009411955108556413,0.000976910401111697,0.010778234242487583,0.03788649384307363,-0.012398214342545344,Risk-Off,-0.021893949456496364,-0.02196551501482208
2025-06-13,0.004539151541811615,0.006253496171424011,0.015454485406201757,0.04847666745133039,0.03971736036279233,Risk-On,0.052115574705337675,0.07400952416183404
2025-06-20,0.007667701068089228,0.005205599857517118,0.03073407169493092,0.049603293864238784,0.05597656237530996,Risk-On,0.016259202012517626,-0.03585637269282005
2025-06-27,0.013025704152344275,0.010812180944969274,0.04586767268534042,0.04939834573089197,0.0851727161773953,Risk-On,0.029196153802085345,0.012936951789567719
2025-07-03,0.010953115300004423,0.002438370604224138,0.042922761871655224,0.05782651370371816,0.07121572586599456,Risk-On,-0.013956990311400741,-0.043153144113486086
2025-07-11,0.013289534337335596,0.011796838239347185,0.04616687564348321,0.0486261837916826,0.08690542502101622,Risk-On,0.015689699155021664,0.029646689466422405
2025-07-18,0.009724398654018751,0.019420958504823727,0.04303625268808675,0.04289998266174022,0.08083727647635841,Risk-On,-0.006068148544657814,-0.021757847699679478
2025-07-25,0.005754688847141587,0.011424120482139699,0.04193534335837912,0.05047165690052613,0.06227377292788555,Risk-On,-0.01856350354847286,-0.012495355003815045
2025-08-01,0.008086130719588303,0.013557470506906366,0.04098505969938415,0.051652026921405136,0.07122139924571463,Risk-On,0.008947626317829083,0.027511129866301942
2025-08-08,0.010101917843403418,0.021082186293555516,0.03501386800876305,0.04430896653283667,0.07997211546135646,Risk-On,0.00875071621564183,-0.00019691010218725324
2025-08-15,0.006620893330898214,0.020930636688893278,0.03515285337882834,0.037830983436997645,0.0678274892302515,Risk-On,-0.01214462623110496,-0.02089534244674679
2025-08-22,0.013283965370833428,0.03127725431784345,0.038545487153791136,0.044497324897094126,0.10152622523151283,Risk-On,0.03369873600126133,0.04584336223236629
2025-08-29,0.01612338572362626,0.025752131165758474,0.027490662960518275,0.04216188907243312,0.09840809208500467,Risk-On,-0.003118133146508162,-0.03681686914776949
2025-09-05,0.01432158821190388,0.03578708804040143,0.040651895598264876,0.051602231086540495,0.11197835824688063,Risk-On,0.013570266161875955,0.016688399308384116
2025-09-12,0.013659355563622855,0.03668888347908572,0.042232332106342696,0.04477004021332154,0.10997562627645602,Risk-On,-0.0020027319704246094,-0.015572998132300564
2025-09-19,0.015520710638184498,0.029536625639849268,0.03489598135158878,0.035088999800300114,0.10231899818027218,Risk-On,-0.007656628096183837,-0.005653896125759228
2025-09-26,0.0027724259893802117,0.02209250818118713,0.033143557322139694,0.03155810812372195,0.0548710918413281,Risk-On,-0.04744790633894408,-0.03979127824276024
2025-10-03,0.0025056298129473298,0.024870628239163084,0.019674581113636513,0.03281749719422944,0.05042918253338069,Risk-On,-0.0044419093079474115,0.04300599703099667
2025-10-10,-0.0009938342324454785,0.027422756328274733,0.05273789446586963,0.049034928519119836,0.06306893299365307,Risk-On,0.012639750460272381,0.017081659768219792
2025-10-17,0.003400539670303626,0.023562350512845498,0.04370544720213876,0.05025023114908622,0.06817925091209731,Risk-On,0.0051103179184442404,-0.0075294325418281405
2025-10-24,0.009719051846481586,0.028933359405026948,0.03888845089541926,0.06043510688516873,0.09264351711347352,Risk-On,0.024464266201376206,0.019353948282931965
2025-10-31,0.001888924045396534,0.013655190477698698,0.03576831001759451,0.05972099349809201,0.052136365997208556,Risk-On,-0.04050715111626496,-0.06497141731764117
2025-11-07,0.0012654155557461078,0.013853280420984326,0.034278524122164145,0.05947756758359479,0.04965818104520342,Risk-On,-0.0024781849520051358,0.038028966164259825
