date,series,close,m21,m63,m126,slope_m21,slope_m63,slope_m126,accel_m21,accel_m63,accel_m126
2025-02-28,KOSPI200,33780.0,0.0001480384900074,0.0130454340980656,-0.053781512605042,-0.0479374468172053,-0.0874688249014667,-0.0868417817682953,-0.074319349546746,-0.1796204078446612,-0.2053311926481156
2025-02-28,auto,17990.0,-0.0333154218162278,-0.0182810368349249,-0.0461293743372216,-0.0188653281582134,-0.068167011749406,-0.0426120583199056,-0.0479968509819739,-0.1043351815127114,-0.1237762387636615
2025-02-28,battery,12800.0,0.001564945226917,-0.1070805720265085,-0.1901297057893072,-0.0425809280936202,-0.1369934838023511,-0.048986668214315,-0.1257893014141575,-0.3715620696810064,-0.1702124462315268
2025-02-28,bio_health,17850.0,0.0238026957269859,0.1442307692307691,0.0927456382001836,-0.0267591020258231,0.0746943453897095,-0.0511693650193914,-0.0366822931022896,0.0303223482000654,-0.1281200825246806
2025-02-28,biosimilar_cdmo,9980.0,-0.0143209876543209,,,-0.050197693061092,,,-0.0791914092839888,,
2025-02-28,construction,3045.0,0.0032948929159801,0.0445969125214407,-0.0645161290322581,-0.0823215454401842,-0.0735688723110108,-0.092068803262404,-0.0784371232111507,-0.127869110924975,-0.2022301731447239
2025-02-28,consumer,6520.0,0.034920634920635,0.01875,-0.0106221547799696,0.0006260129408999,-0.0327555467511886,-0.0083665156822252,-0.0180801445025919,-0.1045618453820765,-0.0753965908701951
2025-02-28,financial,8510.0,-0.0011737089201877,-0.0591487009397456,-0.0017595307917888,-0.0345268953406761,-0.0708105085199205,-0.0747341751950045,-0.0512034885509202,-0.1250971057804094,-0.1892585107829481
2025-02-28,k_beauty,11345.0,0.0456221198156681,0.1144400785854617,0.0088928412627835,0.0137835547932465,-0.002008247469851,0.0380067653134165,0.0077514413837282,-0.1602129230731621,-0.0680774458340857
2025-02-28,k_food,10805.0,0.0740556660039761,0.0783433133732534,-0.0073495636196601,-0.002680613743474,-0.0697664743015265,-0.0630638493339457,-0.0427152728998851,-0.146447690547735,-0.150389889277973
2025-02-28,k_food,10805.0,0.07405566600397617,0.0783433133732534,-0.007349563619660104,-0.0026806137434740585,-0.0697664743015265,-0.06306384933394571,-0.04271527289988519,-0.146447690547735,-0.15038988927797303
2025-02-28,media_platform,12095.0,0.0813589628967366,0.0911141181777175,0.1404997642621404,0.0225095996995472,-0.041342434194288,-0.0264895871415382,0.0059200229792262,-0.0920815350427479,-0.1097601596367987
2025-02-28,semiconductor,32205.0,-0.0639441941578259,0.1116672419744564,-0.0971404541631623,-0.1195743209288923,-0.1082569221068947,-0.1579917731080063,-0.1238638017523657,-0.2557646137717735,-0.3072182571783458
2025-02-28,shipbuilding,19005.0,0.0570077864293658,0.3202500868357067,0.4807167900272691,0.0061320566545535,-0.0527974976176168,-0.0157202646045599,0.1102813784565168,0.0359229149450983,-0.054738204323782
2025-02-28,steel_materials,9700.0,0.0509209100758396,0.1136624569460389,0.3020134228187918,-0.0389913706259146,-0.0341435476728986,-0.0699672535097106,-0.1338056121119826,-0.255478964056542,-0.277511983375498
2025-03-07,KOSPI200,34125.0,0.0240060015003751,0.0256988277727683,-0.0759545085296506,0.0238579630103676,0.0126533936747026,-0.0221729959246086,0.071795409827573,0.1001222185761694,0.0646687858436867
