date,universe_count,breakout_count,breadth_pct,breadth_5dma,slope,acceleration
2025-07-29,343,24,0.0699708454810495,0.0699708454810495,,
2025-07-30,347,29,0.08357348703170028,0.08357348703170028,,
2025-07-31,347,17,0.04899135446685879,0.06628242074927954,-0.017291066282420747,
2025-08-01,347,6,0.01729106628242075,0.049951969260326606,-0.01633045148895293,0.0009606147934678178
2025-08-04,347,6,0.01729106628242075,0.04178674351585014,-0.008165225744476465,0.008165225744476465
2025-08-05,347,15,0.043227665706051875,0.04207492795389049,0.0002881844380403509,0.008453410182516816
2025-08-06,347,18,0.05187319884726225,0.035734870317002884,-0.006340057636887608,-0.006628242074927959
2025-08-07,347,19,0.05475504322766571,0.03688760806916427,0.0011527377521613827,0.007492795389048991
2025-08-08,347,20,0.05763688760806916,0.044956772334293946,0.008069164265129679,0.006916426512968296
2025-08-11,347,26,0.07492795389048991,0.056484149855907786,0.01152737752161384,0.003458213256484162
2025-08-12,347,17,0.04899135446685879,0.05763688760806916,0.0011527377521613758,-0.010374639769452465
2025-08-13,347,21,0.06051873198847262,0.05936599423631124,0.0017291066282420775,0.0005763688760807018
2025-08-14,347,23,0.06628242074927954,0.061671469740634,0.0023054755043227584,0.0005763688760806809
2025-08-18,347,7,0.020172910662824207,0.05417867435158501,-0.007492795389048991,-0.00979827089337175
2025-08-19,347,9,0.025936599423631124,0.04438040345821326,-0.00979827089337175,-0.0023054755043227584
2025-08-20,347,6,0.01729106628242075,0.03804034582132565,-0.006340057636887608,0.003458213256484141
2025-08-21,347,11,0.03170028818443804,0.03227665706051873,-0.00576368876080692,0.0005763688760806879
2025-08-22,347,8,0.023054755043227664,0.02363112391930836,-0.00864553314121037,-0.00288184438040345
2025-08-25,347,19,0.05475504322766571,0.03054755043227666,0.0069164265129683,0.01556195965417867
2025-08-26,347,23,0.06628242074927954,0.03861671469740634,0.008069164265129679,0.0011527377521613792
2025-08-27,347,16,0.04610951008645533,0.04438040345821325,0.0057636887608069134,-0.0023054755043227654
2025-08-28,347,21,0.06051873198847262,0.05014409221902018,0.005763688760806927,1.3877787807814457e-17
2025-08-29,347,21,0.06051873198847262,0.05763688760806916,0.007492795389048984,0.0017291066282420567
2025-09-01,347,13,0.037463976945244955,0.05417867435158501,-0.003458213256484155,-0.010951008645533139
2025-09-02,347,26,0.07492795389048991,0.055907780979827085,0.0017291066282420775,0.0051873198847262325
2025-09-03,347,22,0.06340057636887608,0.05936599423631124,0.003458213256484155,0.0017291066282420775
2025-09-04,347,24,0.069164265129683,0.06109510086455332,0.0017291066282420775,-0.0017291066282420775
2025-09-05,347,27,0.07780979827089338,0.06455331412103746,0.003458213256484141,0.0017291066282420636
2025-09-08,347,35,0.10086455331412104,0.07723342939481267,0.012680115273775217,0.009221902017291075
2025-09-09,347,48,0.138328530259366,0.0899135446685879,0.01268011527377523,1.3877787807814457e-17
2025-09-10,347,60,0.1729106628242075,0.11181556195965418,0.021902017291066278,0.009221902017291048
2025-09-11,347,65,0.1873198847262248,0.13544668587896255,0.02363112391930837,0.0017291066282420914
