date,series,rs21,rs63,rs126,slope_rs21,slope_rs63,slope_rs126,accel_rs21,accel_rs63,accel_rs126
2025-02-28,auto,-0.0334634603062352,-0.0313264709329906,0.0076521382678204,0.0290721186589919,0.0193018131520607,0.0442297234483897,0.026322498564772,0.0752852263319497,0.0815549538844541
2025-02-28,auto,-0.03346346030623526,-0.03132647093299068,0.0076521382678204075,0.029072118658991952,0.0193018131520607,0.04422972344838971,0.02632249856477209,0.07528522633194978,0.0815549538844541
2025-02-28,battery,0.0014169067369096,-0.1201260061245742,-0.1363481931842651,0.0053565187235851,-0.0495246589008843,0.0378551135539803,-0.0514699518674115,-0.1919416618363452,0.0351187464165887
2025-02-28,battery,0.00141690673690964,-0.12012600612457425,-0.13634819318426517,0.005356518723585113,-0.04952465890088431,0.0378551135539803,-0.051469951867411545,-0.1919416618363452,0.03511874641658874
2025-02-28,bio_health,0.0236546572369784,0.1311853351327034,0.1465271508052257,0.0211783447913822,0.1621631702911763,0.0356724167489039,0.0376370564444563,0.2099427560447266,0.0772111101234349
2025-02-28,bio_health,0.02365465723697846,0.13118533513270347,0.14652715080522571,0.021178344791382253,0.16216317029117633,0.03567241674890398,0.03763705644445636,0.20994275604472667,0.07721111012343496
2025-02-28,biosimilar_cdmo,-0.0144690261443284,,,-0.0022602462438866,,,-0.0048720597372428,,
2025-02-28,biosimilar_cdmo,-0.014469026144328434,,,-0.0022602462438866544,,,-0.0048720597372428065,,
2025-02-28,construction,0.0031468544259727,0.031551478423375,-0.010734616427216,-0.0343840986229788,0.0138999525904559,-0.0052270214941086,-0.0041177736644046,0.0517512969196862,0.0031010195033917
2025-02-28,construction,0.003146854425972734,0.03155147842337502,-0.01073461642721607,-0.034384098622978865,0.013899952590455955,-0.005227021494108697,-0.004117773664404689,0.051751296919686274,0.0031010195033917
2025-02-28,consumer,0.0347725964306275,0.0057045659019343,0.0431593578250724,0.0485634597581052,0.0547132781502781,0.0784752660860701,0.056239205044154,0.0750585624625846,0.1299346017779205
2025-02-28,consumer,0.03477259643062758,0.005704565901934355,0.04315935782507241,0.048563459758105276,0.054713278150278155,0.07847526608607014,0.05623920504415403,0.07505856246258469,0.1299346017779205
2025-02-28,financial,-0.0013217474101951,-0.0721941350378113,0.0520219818132532,0.0134105514765292,0.0166583163815462,0.0121076065732907,0.0231158609958257,0.0545233020642518,0.0160726818651675
2025-02-28,financial,-0.0013217474101951954,-0.07219413503781136,0.05202198181325324,0.013410551476529253,0.016658316381546245,0.012107606573290797,0.023115860995825743,0.05452330206425182,0.016072681865167526
2025-02-28,k_beauty,0.0454740813256606,0.1013946444873961,0.0626743538678256,0.0617210016104519,0.0854605774316157,0.1248485470817118,0.0820707909304743,0.0194074847714991,0.1372537468140299
2025-02-28,k_beauty,0.045474081325660665,0.1013946444873961,0.0626743538678256,0.06172100161045191,0.08546057743161573,0.12484854708171189,0.08207079093047431,0.019407484771499117,0.1372537468140299
2025-02-28,k_food,0.0739076275139687,0.0652978792751877,0.0464319489853819,0.0452568330737312,0.0177023505999402,0.0237779324343496,0.0316040766468608,0.0331727172969262,0.0549413033701425
2025-02-28,k_food,0.07390762751396873,0.06529787927518771,0.04643194898538194,0.045256833073731295,0.017702350599940297,0.02377793243434967,0.031604076646860824,0.03317271729692628,0.05494130337014258
2025-02-28,media_platform,0.0812109244067291,0.0780686840796518,0.1942812768671824,0.0704470465167526,0.0461263907071787,0.0603521946267571,0.0802393725259722,0.0875388728019133,0.0955710330113168
2025-02-28,media_platform,0.08121092440672917,0.07806868407965184,0.19428127686718244,0.0704470465167526,0.04612639070717872,0.060352194626757116,0.08023937252597224,0.0875388728019133,0.09557103301131686
2025-02-28,semiconductor,-0.0640922326478333,0.0986218078763907,-0.0433589415581202,-0.0716368741116869,-0.0207880972054279,-0.071149991339711,-0.0495444522056197,-0.0761442059271122,-0.1018870645302302
2025-02-28,semiconductor,-0.06409223264783337,0.09862180787639074,-0.043358941558120256,-0.07163687411168695,-0.020788097205427958,-0.071149991339711,-0.04954445220561976,-0.07614420592711224,-0.10188706453023022
2025-02-28,shipbuilding,0.0568597479393584,0.3072046527376411,0.5344983026323111,0.0540695034717588,0.0346713272838499,0.0711215171637353,0.1846007280032628,0.2155433227897596,0.1505929883243335
2025-02-28,shipbuilding,0.05685974793935844,0.3072046527376411,0.5344983026323111,0.05406950347175887,0.03467132728384992,0.07112151716373538,0.18460072800326288,0.21554332278975963,0.15059298832433354
2025-02-28,steel_materials,0.0507728715858322,0.1006170228479732,0.3557949354238339,0.0089460761912907,0.0533252772285681,0.0168745282585847,-0.0594862625652365,-0.0758585562118807,-0.0721807907273823
2025-02-28,steel_materials,0.05077287158583221,0.10061702284797325,0.3557949354238339,0.00894607619129073,0.05332527722856817,0.01687452825858471,-0.05948626256523659,-0.07585855621188076,-0.07218079072738237
2025-03-07,auto,-0.0182304239426194,-0.0177054429877627,0.0206716358869226,0.0152330363636158,0.0136210279452279,0.0130194976191022,-0.0138390822953761,-0.0056807852068327,-0.0312102258292874
2025-03-07,auto,-0.018230423942619423,-0.017705442987762776,0.020671635886922668,0.015233036363615837,0.013621027945227904,0.01301949761910226,-0.013839082295376115,-0.005680785206832795,-0.031210225829287452
2025-03-07,battery,0.0347691731810881,-0.1374229657038028,-0.0997254914703492,0.0333522664441785,-0.0172969595792286,0.0366227017139159,0.0279957477205934,0.0322276993216557,-0.0012324118400643
2025-03-07,battery,0.03476917318108819,-0.13742296570380286,-0.09972549147034926,0.03335226644417855,-0.01729695957922861,0.036622701713915906,0.027995747720593434,0.0322276993216557,-0.0012324118400643957
2025-03-07,bio_health,-0.030812581194079,0.0468892273574002,0.112355810690053,-0.0544672384310574,-0.0842961077753032,-0.0341713401151726,-0.0756455832224397,-0.2464592780664796,-0.0698437568640766
2025-03-07,bio_health,-0.030812581194079036,0.0468892273574002,0.11235581069005307,-0.054467238431057496,-0.08429610777530328,-0.034171340115172644,-0.07564558322243975,-0.2464592780664796,-0.06984375686407662
2025-03-07,biosimilar_cdmo,-0.0433896993134964,,,-0.028920673169168,,,-0.0266604269252813,,
2025-03-07,biosimilar_cdmo,-0.043389699313496455,,,-0.02892067316916802,,,-0.026660426925281366,,
2025-03-07,construction,0.0573499307030147,0.041190804334255,0.0239485649932464,0.054203076277042,0.00963932591088,0.0346831814204625,0.0885871749000208,-0.0042606266795759,0.0399102029145712
2025-03-07,construction,0.05734993070301475,0.04119080433425504,0.02394856499324649,0.05420307627704202,0.009639325910880014,0.03468318142046256,0.08858717490002088,-0.004260626679575941,0.03991020291457126
2025-03-07,consumer,0.0237996411328538,0.0059369746963675,0.0981257623522806,-0.0109729552977737,0.0002324087944332,0.0549664045272082,-0.059536415055879,-0.0544808693558449,-0.0235088615588618
2025-03-07,consumer,0.02379964113285382,0.0059369746963675585,0.09812576235228065,-0.010972955297773757,0.00023240879443320317,0.054966404527208246,-0.05953641505587903,-0.05448086935584495,-0.023508861558861893
2025-03-07,financial,-0.0743204669091801,-0.1125597403621031,-0.0012677136925715,-0.0729987194989849,-0.0403656053242917,-0.0532896955058247,-0.0864092709755142,-0.057023921705838,-0.0653973020791155
2025-03-07,financial,-0.07432046690918015,-0.11255974036210314,-0.0012677136925715038,-0.07299871949898495,-0.04036560532429179,-0.05328969550582474,-0.08640927097551421,-0.05702392170583803,-0.06539730207911554
2025-03-07,k_beauty,0.0474888917215376,0.1034596849473883,0.0568299866426978,0.002014810395877,0.0020650404599922,-0.0058443672251277,-0.0597061912145748,-0.0833955369716235,-0.1306929143068396
