date,ticker,open,high,low,close,adj_close,volume
2024-01-02,266360.KS,12700.0,13005.0,12600.0,13000.0,12862.6494140625,134286
2024-01-03,266360.KS,12935.0,12935.0,12735.0,12760.0,12625.1845703125,14282
2024-01-04,266360.KS,12705.0,12850.0,12650.0,12820.0,12684.548828125,18378
2024-01-05,266360.KS,12830.0,12925.0,12700.0,12770.0,12635.0771484375,14252
2024-01-08,266360.KS,12780.0,13040.0,12780.0,12910.0,12773.5986328125,20727
2024-01-09,266360.KS,13005.0,13135.0,13005.0,13075.0,12936.85546875,26463
2024-01-10,266360.KS,13075.0,13150.0,13000.0,13105.0,12966.5390625,22753
2024-01-11,266360.KS,13135.0,13350.0,13125.0,13235.0,13095.1640625,23974
2024-01-12,266360.KS,13235.0,13235.0,12950.0,13000.0,12862.6494140625,23981
2024-01-15,266360.KS,13000.0,13035.0,12915.0,12950.0,12813.1767578125,8673
2024-01-16,266360.KS,12870.0,13000.0,12600.0,12600.0,12466.8740234375,16286
2024-01-17,266360.KS,12600.0,12660.0,12120.0,12205.0,12076.0478515625,27378
2024-01-19,266360.KS,12240.0,12350.0,12105.0,12195.0,12066.1533203125,19265
2024-01-22,266360.KS,12280.0,12400.0,12110.0,12160.0,12031.5224609375,34030
2024-01-23,266360.KS,12165.0,12410.0,12160.0,12400.0,12268.9873046875,1039105
2024-01-24,266360.KS,12400.0,12430.0,12280.0,12385.0,12254.1455078125,20279
2024-01-25,266360.KS,12370.0,12370.0,12110.0,12200.0,12071.1015625,12511
2024-01-26,266360.KS,12200.0,12470.0,12200.0,12355.0,12224.462890625,21758
2024-01-29,266360.KS,12430.0,12435.0,12140.0,12155.0,12026.576171875,23622
2024-01-30,266360.KS,12190.0,12190.0,12080.0,12150.0,12021.62890625,10800
2024-01-31,266360.KS,12085.0,12085.0,11775.0,11845.0,11719.8515625,116142
2024-02-01,266360.KS,11685.0,11875.0,11675.0,11875.0,11749.5341796875,11464
2024-02-02,266360.KS,11995.0,12485.0,11995.0,12450.0,12318.458984375,36741
2024-02-05,266360.KS,12520.0,12520.0,12115.0,12210.0,12080.9951171875,55128
2024-02-06,266360.KS,12165.0,12210.0,11995.0,12020.0,11893.001953125,21158
2024-02-07,266360.KS,12140.0,12195.0,11965.0,11980.0,11853.423828125,15349
2024-02-08,266360.KS,12100.0,12150.0,12010.0,12030.0,11902.896484375,15171
2024-02-13,266360.KS,12085.0,12235.0,12085.0,12170.0,12041.4169921875,13381
2024-02-14,266360.KS,11965.0,12385.0,11965.0,12340.0,12209.62109375,27357
2024-02-15,266360.KS,12515.0,12830.0,12515.0,12605.0,12471.822265625,49057
2024-02-16,266360.KS,12765.0,12765.0,12530.0,12540.0,12407.5078125,39086
2024-02-19,266360.KS,12585.0,12620.0,12465.0,12515.0,12382.7724609375,33354
2024-02-20,266360.KS,12515.0,12585.0,12440.0,12450.0,12318.458984375,16832
2024-02-21,266360.KS,12425.0,12505.0,12415.0,12450.0,12318.458984375,19570
2024-02-22,266360.KS,12485.0,12490.0,12350.0,12425.0,12293.72265625,48209
2024-02-23,266360.KS,12430.0,12430.0,12290.0,12330.0,12199.7265625,108764
2024-02-26,266360.KS,12330.0,12345.0,12240.0,12280.0,12150.2548828125,18973
2024-02-27,266360.KS,12280.0,12280.0,12105.0,12195.0,12066.1533203125,29758
2024-02-28,266360.KS,12200.0,12225.0,12125.0,12205.0,12076.0478515625,16611
2024-02-29,266360.KS,12140.0,12140.0,11840.0,11875.0,11749.5341796875,113606
2024-03-04,266360.KS,11900.0,12035.0,11660.0,11660.0,11536.8056640625,49553
2024-03-05,266360.KS,11650.0,11650.0,11480.0,11500.0,11378.49609375,19312
2024-03-06,266360.KS,11400.0,11520.0,11395.0,11430.0,11309.236328125,97565
2024-03-07,266360.KS,11505.0,11520.0,11345.0,11400.0,11279.5537109375,42862
2024-03-08,266360.KS,11525.0,11670.0,11505.0,11550.0,11427.96875,26935
2024-03-11,266360.KS,11555.0,11895.0,11555.0,11895.0,11769.322265625,82131
2024-03-12,266360.KS,11950.0,12030.0,11885.0,12010.0,11883.107421875,24351
2024-03-13,266360.KS,12035.0,12035.0,11890.0,11980.0,11853.423828125,40530
2024-03-14,266360.KS,11980.0,12095.0,11860.0,11925.0,11799.005859375,14741
2024-03-15,266360.KS,11850.0,11850.0,11700.0,11770.0,11645.6435546875,18252
2024-03-18,266360.KS,11825.0,11825.0,11685.0,11765.0,11640.6962890625,20031
2024-03-19,266360.KS,11745.0,11745.0,11625.0,11660.0,11536.8056640625,41322
2024-03-20,266360.KS,11780.0,11805.0,11675.0,11720.0,11596.171875,6692
2024-03-21,266360.KS,11825.0,11920.0,11790.0,11860.0,11734.693359375,28007
2024-03-22,266360.KS,11820.0,11900.0,11820.0,11845.0,11719.8515625,24546
2024-03-25,266360.KS,11835.0,11970.0,11785.0,11960.0,11833.63671875,12549
2024-03-26,266360.KS,12000.0,12200.0,11950.0,12175.0,12046.3642578125,37233
2024-03-27,266360.KS,12195.0,12415.0,12180.0,12340.0,12209.62109375,54256
2024-03-28,266360.KS,12360.0,12360.0,12210.0,12220.0,12090.8896484375,36468
2024-03-29,266360.KS,12255.0,12265.0,12050.0,12140.0,12011.734375,242952
2024-04-01,266360.KS,12185.0,12320.0,12180.0,12295.0,12165.09765625,33611
2024-04-02,266360.KS,12180.0,12180.0,11960.0,12000.0,11873.212890625,31204
2024-04-03,266360.KS,11915.0,12070.0,11915.0,12000.0,11873.212890625,10693
2024-04-04,266360.KS,12080.0,12080.0,11815.0,11845.0,11719.8515625,24645
2024-04-05,266360.KS,11735.0,11810.0,11675.0,11765.0,11640.6962890625,14242
2024-04-08,266360.KS,11725.0,11740.0,11610.0,11630.0,11507.123046875,38630
2024-04-09,266360.KS,11645.0,11780.0,11595.0,11615.0,11492.28125,44414
2024-04-11,266360.KS,11475.0,11480.0,11330.0,11435.0,11314.1826171875,17880
2024-04-12,266360.KS,11430.0,11495.0,11320.0,11325.0,11205.3447265625,11514
2024-04-15,266360.KS,11185.0,11280.0,11110.0,11270.0,11150.9267578125,19582
2024-04-16,266360.KS,11195.0,11235.0,11140.0,11235.0,11116.2958984375,10916
2024-04-17,266360.KS,11235.0,11330.0,11210.0,11215.0,11096.5078125,9371
2024-04-18,266360.KS,11210.0,11530.0,11210.0,11440.0,11319.130859375,14511
2024-04-19,266360.KS,11365.0,11530.0,11235.0,11435.0,11314.1826171875,46654
2024-04-22,266360.KS,11535.0,11605.0,11395.0,11435.0,11314.1826171875,18299
2024-04-23,266360.KS,11350.0,11380.0,11235.0,11265.0,11145.9794921875,12141
2024-04-24,266360.KS,11360.0,11405.0,11335.0,11350.0,11230.0810546875,5956
2024-04-25,266360.KS,11260.0,11280.0,11175.0,11195.0,11076.71875,11178
2024-04-26,266360.KS,11235.0,11235.0,11155.0,11160.0,11042.0888671875,17359
2024-04-29,266360.KS,11215.0,11415.0,11215.0,11415.0,11319.751953125,9913
2024-04-30,266360.KS,11380.0,11460.0,11355.0,11370.0,11275.1279296875,68691
2024-05-02,266360.KS,11360.0,11445.0,11350.0,11435.0,11339.5849609375,21394
2024-05-03,266360.KS,11640.0,11725.0,11575.0,11695.0,11597.416015625,28493
2024-05-07,266360.KS,11785.0,11850.0,11740.0,11765.0,11666.83203125,21881
2024-05-08,266360.KS,11765.0,11835.0,11700.0,11760.0,11661.873046875,40478
2024-05-09,266360.KS,11820.0,11820.0,11630.0,11730.0,11632.1240234375,11503
2024-05-10,266360.KS,11835.0,11935.0,11790.0,11815.0,11716.4140625,20234
2024-05-13,266360.KS,11760.0,11760.0,11550.0,11580.0,11483.3759765625,21159
2024-05-14,266360.KS,11635.0,11730.0,11590.0,11615.0,11518.0830078125,15244
2024-05-16,266360.KS,11650.0,11745.0,11650.0,11680.0,11582.541015625,10141
2024-05-17,266360.KS,11695.0,11740.0,11645.0,11660.0,11562.7080078125,15482
2024-05-20,266360.KS,11665.0,11665.0,11455.0,11510.0,11413.9599609375,15250
2024-05-21,266360.KS,11430.0,11500.0,11390.0,11475.0,11379.251953125,14240
2024-05-22,266360.KS,11445.0,11490.0,11430.0,11460.0,11364.376953125,8180
2024-05-23,266360.KS,11435.0,11585.0,11340.0,11560.0,11463.5419921875,76454
2024-05-24,266360.KS,11450.0,11495.0,11425.0,11460.0,11364.376953125,6527
2024-05-27,266360.KS,11530.0,11675.0,11530.0,11590.0,11493.291015625,276486
2024-05-28,266360.KS,11545.0,11545.0,11275.0,11280.0,11185.87890625,60632
2024-05-29,266360.KS,11235.0,11240.0,11120.0,11135.0,11042.0888671875,33304
2024-05-30,266360.KS,11055.0,11155.0,10980.0,11115.0,11022.2548828125,9393
2024-05-31,266360.KS,11075.0,11185.0,10950.0,11080.0,10987.546875,236002
2024-06-03,266360.KS,11145.0,11270.0,11115.0,11150.0,11056.9638671875,9390
2024-06-04,266360.KS,11120.0,11275.0,11110.0,11190.0,11096.62890625,44746
2024-06-05,266360.KS,11225.0,11265.0,11170.0,11185.0,11091.671875,21330
2024-06-07,266360.KS,11250.0,11310.0,11175.0,11185.0,11091.671875,10353
2024-06-10,266360.KS,11075.0,11075.0,10950.0,11015.0,10923.08984375,12468
2024-06-11,266360.KS,11035.0,11060.0,10960.0,10970.0,10878.46484375,18961
2024-06-12,266360.KS,11000.0,11055.0,10950.0,10970.0,10878.46484375,18776
2024-06-13,266360.KS,11065.0,11140.0,11060.0,11075.0,10982.58984375,52190
2024-06-14,266360.KS,11040.0,11150.0,10995.0,11110.0,11017.2978515625,12196
2024-06-17,266360.KS,11075.0,11090.0,10950.0,11010.0,10918.130859375,20860
2024-06-18,266360.KS,11040.0,11070.0,10975.0,11010.0,10918.130859375,15612
2024-06-19,266360.KS,11030.0,11125.0,11030.0,11125.0,11032.171875,13524
2024-06-20,266360.KS,11100.0,11200.0,11065.0,11145.0,11052.0048828125,14784
2024-06-21,266360.KS,11140.0,11190.0,11110.0,11190.0,11096.62890625,9946
2024-06-24,266360.KS,11240.0,11240.0,10970.0,10990.0,10898.298828125,13741
2024-06-25,266360.KS,10990.0,11025.0,10935.0,10995.0,10903.2568359375,8070
2024-06-26,266360.KS,10990.0,11160.0,10960.0,11115.0,11022.2548828125,14318
2024-06-27,266360.KS,11055.0,11055.0,10865.0,10885.0,10794.1748046875,26981
2024-06-28,266360.KS,10885.0,11040.0,10885.0,11000.0,10908.21484375,15783
2024-07-01,266360.KS,10970.0,10995.0,10885.0,10935.0,10843.7568359375,17609
2024-07-02,266360.KS,10885.0,10885.0,10735.0,10735.0,10645.42578125,19225
2024-07-03,266360.KS,10825.0,10865.0,10690.0,10710.0,10620.634765625,24152
2024-07-04,266360.KS,10710.0,10790.0,10670.0,10685.0,10595.8427734375,24820
2024-07-05,266360.KS,10740.0,11020.0,10720.0,10975.0,10883.4228515625,51227
2024-07-08,266360.KS,10925.0,11135.0,10910.0,11100.0,11007.380859375,34595
2024-07-09,266360.KS,11135.0,11245.0,11110.0,11190.0,11096.62890625,33080
2024-07-10,266360.KS,11130.0,11290.0,11065.0,11280.0,11185.87890625,103711
2024-07-11,266360.KS,11315.0,11315.0,11170.0,11195.0,11101.587890625,20603
2024-07-12,266360.KS,11195.0,11465.0,11135.0,11170.0,11076.796875,39167
2024-07-15,266360.KS,11265.0,11300.0,11115.0,11125.0,11032.171875,28564
2024-07-16,266360.KS,11125.0,11125.0,10925.0,10955.0,10863.5908203125,17093
